ref_char,pred_char,count,ref_total,error_rate
 ,∅,697,23016,3.0
a,o,278,7826,3.6
r,∅,207,5678,3.6
o,a,186,7389,2.5
∅, ,170,1,
s,∅,152,5988,2.5
e,∅,148,12029,1.2
i,∅,128,6321,2.0
s,r,121,5988,2.0
.,∅,120,1326,9.0
∅,e,113,1,
t,∅,113,8617,1.3
r,s,111,5678,2.0
n,∅,108,6573,1.6
o,∅,105,7389,1.4
m,n,98,2183,4.5
∅,r,98,1,
t,l,86,8617,1.0
r,n,84,5678,1.5
c,∅,82,2327,3.5
a,e,82,7826,1.0
n,r,81,6573,1.2
',∅,78,429,18.2
l,∅,78,3972,2.0
u,a,76,2816,2.7
u,n,74,2816,2.6
n,m,74,6573,1.1
e,o,73,12029,0.6
h,∅,71,5804,1.2
",",∅,70,1331,5.3
a,∅,70,7826,0.9
"""",∅,70,576,12.2
s,n,69,5988,1.2
l,t,68,3972,1.7
e,a,67,12029,0.6
u,e,66,2816,2.3
o,e,63,7389,0.9
∅,s,62,1,
u,∅,59,2816,2.1
n,u,57,6573,0.9
∅,t,52,1,
t,f,50,8617,0.6
"""",',49,576,8.5
l,d,48,3972,1.2
-,∅,47,362,13.0
a,u,47,7826,0.6
h,l,46,5804,0.8
∅,o,44,1,
∅,a,44,1,
∅,n,44,1,
d,l,41,4090,1.0
c,e,41,2327,1.8
v,r,39,961,4.1
∅,l,38,1,
∅,c,38,1,
r,t,37,5678,0.7
∅,i,37,1,
f,t,35,2124,1.6
h,n,34,5804,0.6
m,r,33,2183,1.5
l,e,33,3972,0.8
S,s,33,241,13.7
h,t,33,5804,0.6
s,t,32,5988,0.5
t,d,32,8617,0.4
y,g,31,1848,1.7
r,v,30,5678,0.5
b,h,29,1466,2.0
g,y,29,2026,1.4
s,o,29,5988,0.5
l,h,28,3972,0.7
h,b,27,5804,0.5
i,r,27,6321,0.4
w,n,27,2262,1.2
n,s,26,6573,0.4
r,w,26,5678,0.5
w,v,26,2262,1.1
r,e,26,5678,0.5
t,h,26,8617,0.3
n,y,26,6573,0.4
∅,u,26,1,
i,n,25,6321,0.4
o,u,25,7389,0.3
I,∅,25,306,8.2
i,e,25,6321,0.4
m,w,24,2183,1.1
k,h,23,726,3.2
∅,h,23,1,
o,s,23,7389,0.3
e,c,23,12029,0.2
k,l,22,726,3.0
b,l,22,1466,1.5
a,s,22,7826,0.3
f,F,21,2124,1.0
d,∅,21,4090,0.5
r,i,21,5678,0.4
w,u,21,2262,0.9
h,S,21,5804,0.4
e,i,21,12029,0.2
i,a,21,6321,0.3
k,t,21,726,2.9
u,m,20,2816,0.7
v,∅,20,961,2.1
w,W,19,2262,0.8
w,r,19,2262,0.8
i,u,19,6321,0.3
h,d,19,5804,0.3
f,∅,19,2124,0.9
m,∅,18,2183,0.8
∅,.,18,1,
o,r,18,7389,0.2
m,u,18,2183,0.8
",",.,18,1331,1.4
u,r,18,2816,0.6
u,o,17,2816,0.6
r,o,17,5678,0.3
c,a,17,2327,0.7
a,i,17,7826,0.2
b,∅,17,1466,1.2
n,a,17,6573,0.3
c,o,17,2327,0.7
w,m,16,2262,0.7
w,∅,16,2262,0.7
H,t,16,196,8.2
s,a,16,5988,0.3
h,H,16,5804,0.3
p,∅,16,1632,1.0
',"""",16,429,3.7
r,c,16,5678,0.3
i,o,15,6321,0.2
c,d,15,2327,0.6
u,i,15,2816,0.5
f,l,15,2124,0.7
i,h,15,6321,0.2
n,e,15,6573,0.2
∅,f,15,1,
y,∅,15,1848,0.8
h,e,15,5804,0.3
s,e,15,5988,0.3
d,t,14,4090,0.3
∅,',14,1,
C,c,14,141,9.9
e,s,14,12029,0.1
f,p,14,2124,0.7
∅,y,14,1,
G,b,14,157,8.9
e,l,14,12029,0.1
a,n,14,7826,0.2
r,m,13,5678,0.2
e,u,13,12029,0.1
r,a,13,5678,0.2
a,r,13,7826,0.2
T,t,13,358,3.6
 ,i,13,23016,0.1
O,o,13,61,21.3
W,w,13,122,10.7
d,c,13,4090,0.3
h,s,13,5804,0.2
p,e,13,1632,0.8
w,o,13,2262,0.6
r,u,13,5678,0.2
e,r,13,12029,0.1
l,b,13,3972,0.3
L,l,13,123,10.6
b,t,13,1466,0.9
c,r,13,2327,0.6
w,s,13,2262,0.6
e,n,12,12029,0.1
w,a,12,2262,0.5
(,∅,12,49,24.5
;,",",12,60,20.0
n,h,12,6573,0.2
k,b,12,726,1.7
v,w,12,961,1.2
∅,b,12,1,
∅,g,12,1,
k,∅,12,726,1.7
k,e,12,726,1.7
1,∅,11,70,15.7
h,f,11,5804,0.2
o,c,11,7389,0.1
g,∅,11,2026,0.5
m,s,11,2183,0.5
s,c,11,5988,0.2
 ,s,11,23016,0.0
k,r,11,726,1.5
p,s,11,1632,0.7
 ,r,11,23016,0.0
